Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009225,2018,01,01,31.8
IDCJAC0016,009225,2018,01,02,31.8
IDCJAC0016,009225,2018,01,03,31.7
IDCJAC0016,009225,2018,01,04,31.6
IDCJAC0016,009225,2018,01,05,24.8
IDCJAC0016,009225,2018,01,06,31.5
IDCJAC0016,009225,2018,01,07,31.5
IDCJAC0016,009225,2018,01,08,31.5
IDCJAC0016,009225,2018,01,09,31.3
IDCJAC0016,009225,2018,01,10,31.4
IDCJAC0016,009225,2018,01,11,29.2
IDCJAC0016,009225,2018,01,12,31.3
IDCJAC0016,009225,2018,01,13,31.1
IDCJAC0016,009225,2018,01,14,20.7
IDCJAC0016,009225,2018,01,15,3.8
IDCJAC0016,009225,2018,01,16,26.8
IDCJAC0016,009225,2018,01,17,10.2
IDCJAC0016,009225,2018,01,18,18.4
IDCJAC0016,009225,2018,01,19,30.7
IDCJAC0016,009225,2018,01,20,30.6
IDCJAC0016,009225,2018,01,21,30.5
IDCJAC0016,009225,2018,01,22,30.4
IDCJAC0016,009225,2018,01,23,29.4
IDCJAC0016,009225,2018,01,24,30.3
IDCJAC0016,009225,2018,01,25,30.2
IDCJAC0016,009225,2018,01,26,30.1
IDCJAC0016,009225,2018,01,27,30.0
IDCJAC0016,009225,2018,01,28,25.0
IDCJAC0016,009225,2018,01,29,29.6
IDCJAC0016,009225,2018,01,30,29.5
IDCJAC0016,009225,2018,01,31,29.4
IDCJAC0016,009225,2018,02,01,25.5
IDCJAC0016,009225,2018,02,02,20.6
IDCJAC0016,009225,2018,02,03,21.5
IDCJAC0016,009225,2018,02,04,28.4
IDCJAC0016,009225,2018,02,05,27.1
IDCJAC0016,009225,2018,02,06,27.3
IDCJAC0016,009225,2018,02,07,14.5
IDCJAC0016,009225,2018,02,08,26.8
IDCJAC0016,009225,2018,02,09,28.1
IDCJAC0016,009225,2018,02,10,28.1
IDCJAC0016,009225,2018,02,11,27.9
IDCJAC0016,009225,2018,02,12,27.8
IDCJAC0016,009225,2018,02,13,27.1
IDCJAC0016,009225,2018,02,14,27.6
IDCJAC0016,009225,2018,02,15,27.3
IDCJAC0016,009225,2018,02,16,17.9
IDCJAC0016,009225,2018,02,17,25.2
IDCJAC0016,009225,2018,02,18,23.4
IDCJAC0016,009225,2018,02,19,25.6
IDCJAC0016,009225,2018,02,20,23.6
IDCJAC0016,009225,2018,02,21,26.2
IDCJAC0016,009225,2018,02,22,26.2
IDCJAC0016,009225,2018,02,23,22.8
IDCJAC0016,009225,2018,02,24,25.7
IDCJAC0016,009225,2018,02,25,18.4
IDCJAC0016,009225,2018,02,26,12.0
IDCJAC0016,009225,2018,02,27,24.0
IDCJAC0016,009225,2018,02,28,25.1
IDCJAC0016,009225,2018,03,01,25.1
IDCJAC0016,009225,2018,03,02,24.7
IDCJAC0016,009225,2018,03,03,24.8
IDCJAC0016,009225,2018,03,04,24.5
IDCJAC0016,009225,2018,03,05,24.2
IDCJAC0016,009225,2018,03,06,24.0
IDCJAC0016,009225,2018,03,07,21.1
IDCJAC0016,009225,2018,03,08,23.8
IDCJAC0016,009225,2018,03,09,23.6
IDCJAC0016,009225,2018,03,10,23.4
IDCJAC0016,009225,2018,03,11,23.1
IDCJAC0016,009225,2018,03,12,23.0
IDCJAC0016,009225,2018,03,13,20.9
IDCJAC0016,009225,2018,03,14,11.6
IDCJAC0016,009225,2018,03,15,16.2
IDCJAC0016,009225,2018,03,16,19.9
IDCJAC0016,009225,2018,03,17,17.3
IDCJAC0016,009225,2018,03,18,21.9
IDCJAC0016,009225,2018,03,19,21.3
IDCJAC0016,009225,2018,03,20,18.7
IDCJAC0016,009225,2018,03,21,21.0
IDCJAC0016,009225,2018,03,22,11.3
IDCJAC0016,009225,2018,03,23,17.9
IDCJAC0016,009225,2018,03,24,9.6
IDCJAC0016,009225,2018,03,25,7.3
IDCJAC0016,009225,2018,03,26,7.3
IDCJAC0016,009225,2018,03,27,19.1
IDCJAC0016,009225,2018,03,28,20.1
IDCJAC0016,009225,2018,03,29,19.9
IDCJAC0016,009225,2018,03,30,19.3
IDCJAC0016,009225,2018,03,31,18.1
IDCJAC0016,009225,2018,04,01,19.3
IDCJAC0016,009225,2018,04,02,19.4
IDCJAC0016,009225,2018,04,03,19.3
IDCJAC0016,009225,2018,04,04,19.0
IDCJAC0016,009225,2018,04,05,18.9
IDCJAC0016,009225,2018,04,06,18.7
IDCJAC0016,009225,2018,04,07,12.6
IDCJAC0016,009225,2018,04,08,16.3
IDCJAC0016,009225,2018,04,09,15.7
IDCJAC0016,009225,2018,04,10,13.6
IDCJAC0016,009225,2018,04,11,15.7
IDCJAC0016,009225,2018,04,12,12.4
IDCJAC0016,009225,2018,04,13,12.1
IDCJAC0016,009225,2018,04,14,17.4
IDCJAC0016,009225,2018,04,15,16.9
IDCJAC0016,009225,2018,04,16,13.7
IDCJAC0016,009225,2018,04,17,12.9
IDCJAC0016,009225,2018,04,18,11.7
IDCJAC0016,009225,2018,04,19,10.1
IDCJAC0016,009225,2018,04,20,15.5
IDCJAC0016,009225,2018,04,21,15.4
IDCJAC0016,009225,2018,04,22,9.5
IDCJAC0016,009225,2018,04,23,13.6
IDCJAC0016,009225,2018,04,24,14.8
IDCJAC0016,009225,2018,04,25,15.9
IDCJAC0016,009225,2018,04,26,12.2
IDCJAC0016,009225,2018,04,27,15.5
IDCJAC0016,009225,2018,04,28,14.8
IDCJAC0016,009225,2018,04,29,15.3
IDCJAC0016,009225,2018,04,30,12.2
IDCJAC0016,009225,2018,05,01,14.5
IDCJAC0016,009225,2018,05,02,11.4
IDCJAC0016,009225,2018,05,03,13.2
IDCJAC0016,009225,2018,05,04,13.7
IDCJAC0016,009225,2018,05,05,14.6
IDCJAC0016,009225,2018,05,06,7.3
IDCJAC0016,009225,2018,05,07,13.7
IDCJAC0016,009225,2018,05,08,14.3
IDCJAC0016,009225,2018,05,09,14.0
IDCJAC0016,009225,2018,05,10,12.1
IDCJAC0016,009225,2018,05,11,14.0
IDCJAC0016,009225,2018,05,12,13.5
IDCJAC0016,009225,2018,05,13,12.6
IDCJAC0016,009225,2018,05,14,13.5
IDCJAC0016,009225,2018,05,15,13.6
IDCJAC0016,009225,2018,05,16,13.3
IDCJAC0016,009225,2018,05,17,13.4
IDCJAC0016,009225,2018,05,18,13.3
IDCJAC0016,009225,2018,05,19,13.2
