Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2018,01,01,34.0,1,Y
IDCJAC0010,009225,2018,01,02,37.7,1,Y
IDCJAC0010,009225,2018,01,03,29.8,1,Y
IDCJAC0010,009225,2018,01,04,30.9,1,Y
IDCJAC0010,009225,2018,01,05,26.1,1,Y
IDCJAC0010,009225,2018,01,06,27.3,1,Y
IDCJAC0010,009225,2018,01,07,30.2,1,Y
IDCJAC0010,009225,2018,01,08,33.4,1,Y
IDCJAC0010,009225,2018,01,09,34.8,1,Y
IDCJAC0010,009225,2018,01,10,28.3,1,Y
IDCJAC0010,009225,2018,01,11,23.7,1,Y
IDCJAC0010,009225,2018,01,12,26.6,1,Y
IDCJAC0010,009225,2018,01,13,37.3,1,Y
IDCJAC0010,009225,2018,01,14,38.0,1,Y
IDCJAC0010,009225,2018,01,15,25.8,1,Y
IDCJAC0010,009225,2018,01,16,31.0,1,Y
IDCJAC0010,009225,2018,01,17,26.8,1,Y
IDCJAC0010,009225,2018,01,18,28.7,1,Y
IDCJAC0010,009225,2018,01,19,30.5,1,Y
IDCJAC0010,009225,2018,01,20,34.7,1,Y
IDCJAC0010,009225,2018,01,21,32.2,1,Y
IDCJAC0010,009225,2018,01,22,33.4,1,Y
IDCJAC0010,009225,2018,01,23,33.3,1,Y
IDCJAC0010,009225,2018,01,24,31.4,1,Y
IDCJAC0010,009225,2018,01,25,29.9,1,Y
IDCJAC0010,009225,2018,01,26,30.9,1,Y
IDCJAC0010,009225,2018,01,27,27.1,1,Y
IDCJAC0010,009225,2018,01,28,28.5,1,Y
IDCJAC0010,009225,2018,01,29,30.6,1,Y
IDCJAC0010,009225,2018,01,30,30.3,1,Y
IDCJAC0010,009225,2018,01,31,31.2,1,Y
IDCJAC0010,009225,2018,02,01,31.9,1,Y
IDCJAC0010,009225,2018,02,02,32.5,1,Y
IDCJAC0010,009225,2018,02,03,33.0,1,Y
IDCJAC0010,009225,2018,02,04,28.3,1,Y
IDCJAC0010,009225,2018,02,05,30.6,1,Y
IDCJAC0010,009225,2018,02,06,29.3,1,Y
IDCJAC0010,009225,2018,02,07,27.2,1,Y
IDCJAC0010,009225,2018,02,08,31.1,1,Y
IDCJAC0010,009225,2018,02,09,25.7,1,Y
IDCJAC0010,009225,2018,02,10,31.2,1,Y
IDCJAC0010,009225,2018,02,11,31.7,1,Y
IDCJAC0010,009225,2018,02,12,32.0,1,Y
IDCJAC0010,009225,2018,02,13,26.2,1,Y
IDCJAC0010,009225,2018,02,14,31.1,1,Y
IDCJAC0010,009225,2018,02,15,37.9,1,Y
IDCJAC0010,009225,2018,02,16,36.0,1,Y
IDCJAC0010,009225,2018,02,17,27.4,1,Y
IDCJAC0010,009225,2018,02,18,28.5,1,Y
IDCJAC0010,009225,2018,02,19,27.5,1,Y
IDCJAC0010,009225,2018,02,20,28.0,1,Y
IDCJAC0010,009225,2018,02,21,29.0,1,Y
IDCJAC0010,009225,2018,02,22,29.7,1,Y
IDCJAC0010,009225,2018,02,23,30.7,1,Y
IDCJAC0010,009225,2018,02,24,31.7,1,Y
IDCJAC0010,009225,2018,02,25,31.5,1,Y
IDCJAC0010,009225,2018,02,26,24.0,1,Y
IDCJAC0010,009225,2018,02,27,23.8,1,Y
IDCJAC0010,009225,2018,02,28,29.1,1,Y
IDCJAC0010,009225,2018,03,01,31.6,1,Y
IDCJAC0010,009225,2018,03,02,27.4,1,Y
IDCJAC0010,009225,2018,03,03,29.8,1,Y
IDCJAC0010,009225,2018,03,04,32.3,1,Y
IDCJAC0010,009225,2018,03,05,35.9,1,Y
IDCJAC0010,009225,2018,03,06,36.5,1,Y
IDCJAC0010,009225,2018,03,07,29.1,1,Y
IDCJAC0010,009225,2018,03,08,29.9,1,Y
IDCJAC0010,009225,2018,03,09,28.7,1,Y
IDCJAC0010,009225,2018,03,10,30.9,1,Y
IDCJAC0010,009225,2018,03,11,33.1,1,Y
IDCJAC0010,009225,2018,03,12,35.0,1,Y
IDCJAC0010,009225,2018,03,13,38.5,1,Y
IDCJAC0010,009225,2018,03,14,29.2,1,Y
IDCJAC0010,009225,2018,03,15,26.0,1,Y
IDCJAC0010,009225,2018,03,16,25.8,1,Y
IDCJAC0010,009225,2018,03,17,23.8,1,Y
IDCJAC0010,009225,2018,03,18,27.3,1,Y
IDCJAC0010,009225,2018,03,19,32.0,1,Y
IDCJAC0010,009225,2018,03,20,33.5,1,Y
IDCJAC0010,009225,2018,03,21,38.1,1,Y
IDCJAC0010,009225,2018,03,22,25.2,1,Y
IDCJAC0010,009225,2018,03,23,29.2,1,Y
IDCJAC0010,009225,2018,03,24,27.1,1,Y
IDCJAC0010,009225,2018,03,25,25.8,1,Y
IDCJAC0010,009225,2018,03,26,25.8,1,Y
IDCJAC0010,009225,2018,03,27,24.6,1,Y
IDCJAC0010,009225,2018,03,28,24.6,1,Y
IDCJAC0010,009225,2018,03,29,28.5,1,Y
IDCJAC0010,009225,2018,03,30,33.2,1,Y
IDCJAC0010,009225,2018,03,31,26.5,1,Y
IDCJAC0010,009225,2018,04,01,28.0,1,N
